                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.52869,                0.42302,                0.90626,                0.92665,                0.99628,                  0.995,                0.87014,                0.64874,                0.35606,                0.97575,               0.001189,               0.001189,               0.001189
                     91,                0.57478,                0.38954,                0.94482,                0.92771,                      1,                  0.995,                0.89298,                0.63822,                0.35603,                0.97209,                0.00109,                0.00109,                0.00109
                     92,                0.54275,                0.34803,                0.90067,                0.93053,                      1,                  0.995,                0.88533,                0.67495,                0.38264,                0.98776,               0.000991,               0.000991,               0.000991
                     93,                0.54046,                0.38076,                0.91003,                0.93654,                      1,                  0.995,                0.88533,                0.68028,                0.36722,                0.99461,               0.000892,               0.000892,               0.000892
                     94,                0.59643,                0.41174,                0.94914,                0.92999,                      1,                  0.995,                0.88715,                0.68438,                0.34263,                0.99069,               0.000793,               0.000793,               0.000793
                     95,                0.51473,                0.34069,                 0.8838,                0.92846,                      1,                  0.995,                0.88836,                0.70027,                0.34738,                 1.0027,               0.000694,               0.000694,               0.000694
                     96,                0.50813,                0.32765,                0.88355,                0.92345,                      1,                  0.995,                  0.874,                0.70379,                0.33299,                0.98799,               0.000595,               0.000595,               0.000595
                     97,                0.49808,                0.35086,                0.86853,                0.92277,                      1,                  0.995,                0.88836,                0.69809,                0.33373,                0.98084,               0.000496,               0.000496,               0.000496
                     98,                0.53593,                0.33416,                0.90794,                0.91838,                      1,                  0.995,                  0.874,                0.68575,                0.33199,                0.97446,               0.000397,               0.000397,               0.000397
                     99,                0.54924,                0.34915,                0.92713,                0.92297,                      1,                  0.995,                  0.874,                0.67476,                0.31756,                0.97149,               0.000298,               0.000298,               0.000298
